area,time,OBS,EXP,pop,type,Average_cloud_volume,rain_fall,Average_temperature_(Celsius),wind_speed,Average_maximum_relative_humidity
Nakhon Sawan,1,19,18.81587691,1071686,1,2.5,0,24.55,1.7,79
Nakhon Si Thammarat,1,69,26.79363554,1526071,1,7.333333333,455.9333333,25.2,0.9,97
Nan,1,0,8.368003993,476612,1,1.75,1.95,21.4,0.2,96.25
Narathiwat,1,23,13.12180952,747372,1,7,373.8,25.9,3.9,92
Nong Bua Lam Phu,1,1,8.823421934,502551,1,1,0,0,0,87
Nong Khai,1,2,8.951923569,509870,1,2,1.4,21.5,3,86
Nonthaburi,1,21,19.71026164,1122627,1,6,0,0,0,0
Pathum Thani,1,10,17.74860579,1010898,1,6,0,26,2.6,84
Pattani,1,8,11.64898309,663485,1,8,144.5,26.1,0.9,95
Phangnga,1,1,4.475891555,254931,1,3,0,25.85,2.25,78.5
Phatthalung,1,35,8.972869388,511063,1,6,85.4,26.4,0.9,95
Phayao,1,1,8.541118643,486472,1,8,398.6,25.7,2.4,94
Phetchabun,1,7,17.39586274,990807,1,3,4.2,22.2,1.6,92
Phetchaburi,1,8,8.183073303,466079,1,1.666666667,0,24.3,0.8,84.33333333
Phichit,1,12,9.651018814,549688,1,5,0,25.8,3.3,80
Phitsanulok,1,14,14.9475019,851357,1,3,0.6,23.7,0.4,96
Phra Nakhon Si Ayutthaya,1,7,13.82903378,787653,1,3,2.1,24.7,1.6,90
Phrae,1,2,8.054396095,458750,1,4,0,26.1,4.1,78
Phuket,1,4,6.212586147,353847,1,6,3.8,23,0.8,94
Prachin Buri,1,12,8.245805417,469652,1,6,76.8,27.7,2.75,90
Prachuap Khiri Khan,1,13,8.999293074,512568,1,4.333333333,0.166666667,25.3,2.5,81
Ranong,1,3,3.227885924,183849,1,6,46.2,25.1,2.3,90
Ratchaburi,1,40,14.79522773,842684,1,2,4.1,24.5,3.3,89
Rayong,1,24,11.19690103,637736,1,5,0,26.25,2,82.5
Roi Et,1,3,22.91325136,1305058,1,3,0,21.4,4.35,87.5
Sa Kaeo,1,3,9.579174479,545596,1,2.5,0,25.35,2.35,81
Sakon Nakhon,1,0,19.7229731,1123351,1,1,0,20.95,1.5,89
Samut Prakan,1,50,21.1253071,1203223,1,6,2,25.75,8.25,68.5
Samut Sakhon,1,30,8.762796692,499098,1,6,2,0,0,0
Samut Songkhram,1,4,3.407619663,194086,1,0,0,0,0,0
Saraburi,1,10,10.89347635,620454,1,4,0,0,0,85
Satun,1,12,5.292936518,301467,1,6,29.2,26.7,2.7,86
Si Sa Ket,1,8,25.49671536,1452203,1,2,0,22.6,3.7,87
Sing Buri,1,1,3.750003921,213587,1,3,0,0,0,85
Songkhla,1,89,24.00095914,1367010,1,6.75,146.975,25.8,3.1,90.75
Sukhothai,1,6,10.56076614,601504,1,4,0.8,24.15,0.35,94.5
Suphan Buri,1,12,14.83682089,845053,1,3,0,24.2,0.95,90.5
Surat Thani,1,41,17.76907756,1012064,1,6.5,211.975,25.4,1.275,96.25
Surin,1,21,24.23603339,1380399,1,2,0,22.23333333,3,87.66666667
Tak,1,19,9.323224645,531018,1,2.4,5.62,22.14,1.38,93.2
Trang,1,2,11.00327949,626708,1,3,0,26.2,2.2,81
Trat,1,9,3.89794145,222013,1,6,123.2,24.8,3.8,94
Ubon Ratchathani,1,7,31.88499708,1816057,1,5,0,22.65,3.95,86.5
Udon Thani,1,0,27.18052747,1548107,1,2,1.7,21.4,2.9,84
Uthai Thani,1,0,5.759380422,328034,1,0,0,0,0,0
Uttaradit,1,2,8.094602236,461040,1,3,2,24.8,0.1,86
Yala,1,7,8.669198903,493767,1,8,364.8,25.9,2.4,96
Yasothon,1,0,9.460785829,538853,1,1,0,0,0,88
Amnat Charoen,2,2,5.553751993,372241,1,5,0,0,0,88
Ang Thong,2,16,4.238126227,284061,1,4,0,0,0,88
Bangkok Metropolis,2,145,84.66738114,5674843,1,5.25,0.58,26.35,3.3,73.75
Bueng Kan,2,0,6.081807593,407634,1,3,0,0,0,75
Buri Ram,2,5,23.26119752,1559085,1,2.5,0,22,2.6,87.5
Chachoengsao,2,12,10.13604759,679370,1,5,0,25,2,82
Chai Nat,2,6,4.972104562,333256,1,3,0.2,25.1,0.3,84
Chaiyaphum,2,1,16.82089757,1127423,1,3,0,23.2,3.3,76
Chanthaburi,2,9,7.711360346,516855,1,2.5,0,26.4,2.6,79.5
Chiang Mai,2,2,24.56009822,1646144,1,3,11.95,19.75,1.75,89
Chiang Rai,2,5,17.88367791,1198656,1,3,26.45,21.55,0.95,94.5
Chon Buri,2,26,19.97244642,1338656,1,4,0.04,26.96,4.34,76.6
Chumphon,2,16,7.343244736,492182,1,6.5,46.15,25.15,2,93.5
Kalasin,2,0,14.6460718,981655,1,2,0,21,7.2,87
Kamphaeng Phet,2,9,10.83189098,726009,1,3,2.8,24.2,0.9,92
Kanchanaburi,2,5,12.51640819,838914,1,2.5,5.55,24.95,0.55,89
Khon Kaen,2,4,26.34930749,1766066,1,2.5,0,22.1,2.9,87.5
Krabi,2,32,6.535443354,438039,1,6,87.1,27.25,3.95,93.5
Lampang,2,3,11.30223689,757534,1,3.666666667,4.7,22.83333333,1.066666667,94.66666667
Lamphun,2,1,6.026872981,403952,1,3,7.6,22.8,0.3,96
Loei,2,5,9.323665839,624920,1,2,0.15,20.5,1.7,92.5
Lop Buri,2,20,11.28124477,756127,1,3,0,24.6,3.65,77.5
Mae Hong Son,2,0,3.641141267,244048,1,2.5,14.05,23,0.3,96
Maha Sarakham,2,3,14.02064975,939736,1,2,0,22.2,2.9,87
Mukdahan,2,0,5.081391915,340581,1,2,0,21.5,3.7,84
Nakhon Nayok,2,1,3.787101427,253831,1,0,0,0,0,0
Nakhon Pathom,2,27,12.92148008,866064,1,2,0,23.4,1.5,94
Nakhon Phanom,2,1,10.51498004,704768,1,2.5,0,20.25,2.75,89.5
Nakhon Ratchasima,2,14,38.57246749,2585325,1,3,0.266666667,22.56666667,5.066666667,83.33333333
Nakhon Sawan,2,25,15.98931407,1071686,1,2.5,0,24.55,1.7,79
Nakhon Si Thammarat,2,51,22.76863607,1526071,1,7.333333333,455.9333333,25.2,0.9,97
Nan,2,1,7.110943838,476612,1,1.75,1.95,21.4,0.2,96.25
Narathiwat,2,10,11.15062214,747372,1,7,373.8,25.9,3.9,92
Nong Bua Lam Phu,2,1,7.497947883,502551,1,1,0,0,0,87
Nong Khai,2,0,7.607145717,509870,1,2,1.4,21.5,3,86
Nonthaburi,2,31,16.74934233,1122627,1,6,0,0,0,0
Pathum Thani,2,7,15.08237078,1010898,1,6,0,26,2.6,84
Pattani,2,2,9.899046965,663485,1,8,144.5,26.1,0.9,95
Phangnga,2,2,3.803513179,254931,1,3,0,25.85,2.25,78.5
Phatthalung,2,29,7.624945009,511063,1,6,85.4,26.4,0.9,95
Phayao,2,1,7.25805282,486472,1,8,398.6,25.7,2.4,94
Phetchabun,2,16,14.78261758,990807,1,3,4.2,22.2,1.6,92
Phetchaburi,2,8,6.953793847,466079,1,1.666666667,0,24.3,0.8,84.33333333
Phichit,2,18,8.201221321,549688,1,5,0,25.8,3.3,80
Phitsanulok,2,16,12.70205495,851357,1,3,0.6,23.7,0.4,96
Phra Nakhon Si Ayutthaya,2,1,11.7516056,787653,1,3,2.1,24.7,1.6,90
Phrae,2,0,6.844446815,458750,1,4,0,26.1,4.1,78
Phuket,2,5,5.279317651,353847,1,6,3.8,23,0.8,94
Prachin Buri,2,3,7.007102203,469652,1,6,76.8,27.7,2.75,90
Prachuap Khiri Khan,2,15,7.64739927,512568,1,4.333333333,0.166666667,25.3,2.5,81
Ranong,2,3,2.742985728,183849,1,6,46.2,25.1,2.3,90
Ratchaburi,2,41,12.57265574,842684,1,2,4.1,24.5,3.3,89
Rayong,2,15,9.514877677,637736,1,5,0,26.25,2,82.5
Roi Et,2,7,19.47117182,1305058,1,3,0,21.4,4.35,87.5
Sa Kaeo,2,3,8.140169601,545596,1,2.5,0,25.35,2.35,81
Sakon Nakhon,2,0,16.76014425,1123351,1,1,0,20.95,1.5,89
Samut Prakan,2,61,17.95181652,1203223,1,6,2,25.75,8.25,68.5
Samut Sakhon,2,20,7.4464299,499098,1,6,2,0,0,0
Samut Songkhram,2,7,2.895719465,194086,1,0,0,0,0,0
Saraburi,2,13,9.257034124,620454,1,4,0,0,0,85
Satun,2,4,4.497819832,301467,1,6,29.2,26.7,2.7,86
Si Sa Ket,2,12,21.66654212,1452203,1,2,0,22.6,3.7,87
Sing Buri,2,0,3.186669999,213587,1,3,0,0,0,85
Songkhla,2,55,20.39548172,1367010,1,6.75,146.975,25.8,3.1,90.75
Sukhothai,2,6,8.974304386,601504,1,4,0.8,24.15,0.35,94.5
Suphan Buri,2,19,12.60800069,845053,1,3,0,24.2,0.95,90.5
Surat Thani,2,27,15.09976724,1012064,1,6.5,211.975,25.4,1.275,96.25
Surin,2,11,20.59524259,1380399,1,2,0,22.23333333,3,87.66666667
Tak,2,14,7.92266912,531018,1,2.4,5.62,22.14,1.38,93.2
Trang,2,0,9.350342397,626708,1,3,0,26.2,2.2,81
Trat,2,6,3.312384024,222013,1,6,123.2,24.8,3.8,94
Ubon Ratchathani,2,8,27.09516196,1816057,1,5,0,22.65,3.95,86.5
Udon Thani,2,0,23.09740823,1548107,1,2,1.7,21.4,2.9,84
Uthai Thani,2,4,4.894193497,328034,1,0,0,0,0,0
Uttaradit,2,2,6.8786131,461040,1,3,2,24.8,0.1,86
Yala,2,6,7.366892579,493767,1,8,364.8,25.9,2.4,96
Yasothon,2,0,8.039565558,538853,1,1,0,0,0,88
Amnat Charoen,3,3,5.652511182,372241,1,5,0,0,0,88
Ang Thong,3,4,4.313490397,284061,1,4,0,0,0,88
Bangkok Metropolis,3,128,86.17297265,5674843,1,5.25,0.58,26.35,3.3,73.75
Bueng Kan,3,0,6.189956891,407634,1,3,0,0,0,75
Buri Ram,3,7,23.67483806,1559085,1,2.5,0,22,2.6,87.5
Chachoengsao,3,4,10.31629112,679370,1,5,0,25,2,82
Chai Nat,3,5,5.060520647,333256,1,3,0.2,25.1,0.3,84
Chaiyaphum,3,5,17.12001395,1127423,1,3,0,23.2,3.3,76
Chanthaburi,3,9,7.848487047,516855,1,2.5,0,26.4,2.6,79.5
Chiang Mai,3,2,24.99683637,1646144,1,3,11.95,19.75,1.75,89
Chiang Rai,3,2,18.2016931,1198656,1,3,26.45,21.55,0.95,94.5
Chon Buri,3,58,20.32760499,1338656,1,4,0.04,26.96,4.34,76.6
Chumphon,3,16,7.473825447,492182,1,6.5,46.15,25.15,2,93.5
Kalasin,3,0,14.9065145,981655,1,2,0,21,7.2,87
Kamphaeng Phet,3,5,11.02450829,726009,1,3,2.8,24.2,0.9,92
Kanchanaburi,3,18,12.7389803,838914,1,2.5,5.55,24.95,0.55,89
Khon Kaen,3,2,26.81786212,1766066,1,2.5,0,22.1,2.9,87.5
Krabi,3,20,6.651659397,438039,1,6,87.1,27.25,3.95,93.5
Lampang,3,1,11.50321809,757534,1,3.666666667,4.7,22.83333333,1.066666667,94.66666667
Lamphun,3,1,6.134045408,403952,1,3,7.6,22.8,0.3,96
Loei,3,3,9.489463244,624920,1,2,0.15,20.5,1.7,92.5
Lop Buri,3,7,11.48185268,756127,1,3,0,24.6,3.65,77.5
Mae Hong Son,3,3,3.705889595,244048,1,2.5,14.05,23,0.3,96
Maha Sarakham,3,7,14.26997093,939736,1,2,0,22.2,2.9,87
Mukdahan,3,2,5.171751394,340581,1,2,0,21.5,3.7,84
Nakhon Nayok,3,1,3.854445281,253831,1,0,0,0,0,0
Nakhon Pathom,3,15,13.15125535,866064,1,2,0,23.4,1.5,94
Nakhon Phanom,3,0,10.7019619,704768,1,2.5,0,20.25,2.75,89.5
Nakhon Ratchasima,3,17,39.25837957,2585325,1,3,0.266666667,22.56666667,5.066666667,83.33333333
Nakhon Sawan,3,31,16.27364288,1071686,1,2.5,0,24.55,1.7,79
Nakhon Si Thammarat,3,38,23.17351767,1526071,1,7.333333333,455.9333333,25.2,0.9,97
Nan,3,0,7.237393676,476612,1,1.75,1.95,21.4,0.2,96.25
Narathiwat,3,8,11.34890726,747372,1,7,373.8,25.9,3.9,92
Nong Bua Lam Phu,3,0,7.631279592,502551,1,1,0,0,0,87
Nong Khai,3,0,7.742419229,509870,1,2,1.4,21.5,3,86
Nonthaburi,3,30,17.04718629,1122627,1,6,0,0,0,0
Pathum Thani,3,12,15.35057194,1010898,1,6,0,26,2.6,84
Pattani,3,3,10.07507604,663485,1,8,144.5,26.1,0.9,95
Phangnga,3,2,3.871148874,254931,1,3,0,25.85,2.25,78.5
Phatthalung,3,13,7.760535035,511063,1,6,85.4,26.4,0.9,95
Phayao,3,1,7.387118613,486472,1,8,398.6,25.7,2.4,94
Phetchabun,3,13,15.0454884,990807,1,3,4.2,22.2,1.6,92
Phetchaburi,3,10,7.077449177,466079,1,1.666666667,0,24.3,0.8,84.33333333
Phichit,3,18,8.347058939,549688,1,5,0,25.8,3.3,80
Phitsanulok,3,14,12.92792831,851357,1,3,0.6,23.7,0.4,96
Phra Nakhon Si Ayutthaya,3,3,11.96057766,787653,1,3,2.1,24.7,1.6,90
Phrae,3,1,6.96615769,458750,1,4,0,26.1,4.1,78
Phuket,3,3,5.37319673,353847,1,6,3.8,23,0.8,94
Prachin Buri,3,20,7.131705485,469652,1,6,76.8,27.7,2.75,90
Prachuap Khiri Khan,3,11,7.783388588,512568,1,4.333333333,0.166666667,25.3,2.5,81
Ranong,3,4,2.79176267,183849,1,6,46.2,25.1,2.3,90
Ratchaburi,3,38,12.79622807,842684,1,2,4.1,24.5,3.3,89
Rayong,3,23,9.684075292,637736,1,5,0,26.25,2,82.5
Roi Et,3,9,19.81741651,1305058,1,3,0,21.4,4.35,87.5
Sa Kaeo,3,11,8.284921571,545596,1,2.5,0,25.35,2.35,81
Sakon Nakhon,3,0,17.05818029,1123351,1,1,0,20.95,1.5,89
Samut Prakan,3,57,18.27104339,1203223,1,6,2,25.75,8.25,68.5
Samut Sakhon,3,15,7.578845494,499098,1,6,2,0,0,0
Samut Songkhram,3,19,2.947212384,194086,1,0,0,0,0,0
Saraburi,3,16,9.421646655,620454,1,4,0,0,0,85
Satun,3,3,4.577801984,301467,1,6,29.2,26.7,2.7,86
Si Sa Ket,3,20,22.05182582,1452203,1,2,0,22.6,3.7,87
Sing Buri,3,0,3.243336725,213587,1,3,0,0,0,85
Songkhla,3,39,20.75816288,1367010,1,6.75,146.975,25.8,3.1,90.75
Sukhothai,3,7,9.133889297,601504,1,4,0.8,24.15,0.35,94.5
Suphan Buri,3,22,12.83220153,845053,1,3,0,24.2,0.95,90.5
Surat Thani,3,24,15.36827775,1012064,1,6.5,211.975,25.4,1.275,96.25
Surin,3,39,20.96147599,1380399,1,2,0,22.23333333,3,87.66666667
Tak,3,21,8.063553404,531018,1,2.4,5.62,22.14,1.38,93.2
Trang,3,1,9.516614176,626708,1,3,0,26.2,2.2,81
Trat,3,10,3.37128625,222013,1,6,123.2,24.8,3.8,94
Ubon Ratchathani,3,9,27.5769797,1816057,1,5,0,22.65,3.95,86.5
Udon Thani,3,0,23.5081362,1548107,1,2,1.7,21.4,2.9,84
Uthai Thani,3,1,4.981224134,328034,1,0,0,0,0,0
Uttaradit,3,1,7.000931534,461040,1,3,2,24.8,0.1,86
Yala,3,8,7.497893807,493767,1,8,364.8,25.9,2.4,96
Yasothon,3,0,8.182528544,538853,1,1,0,0,0,88
Amnat Charoen,4,5,7.639313673,372241,1,6,13.15,0,0,88
Ang Thong,4,15,5.829640156,284061,1,5,21.5,0,0,88
Bangkok Metropolis,4,129,116.4619312,5674843,1,5.75,30.26,21.175,1.4,63.75
Bueng Kan,4,0,8.365666301,407634,1,1,0,0,0,75
Buri Ram,4,9,31.99631249,1559085,1,3.5,2.85,24.95,1.75,90.5
Chachoengsao,4,16,13.94236672,679370,1,6,30,25.6,1,92
Chai Nat,4,4,6.839244246,333256,1,4,0.6,26.6,0.4,89
Chaiyaphum,4,23,23.1375317,1127423,1,5,4.8,26.5,2.6,84
Chanthaburi,4,22,10.60715361,516855,1,4.5,30.85,27,1.7,89.5
Chiang Mai,4,9,33.78298029,1646144,1,1.5,0.45,19.55,2.05,80
Chiang Rai,4,3,24.59941052,1198656,1,0,0,20.35,0.7,96
Chon Buri,4,65,27.47255967,1338656,1,4.8,53.76,27.32,3.36,88
Chumphon,4,11,10.10080212,492182,1,5,12.4,26.45,1.4,95.5
Kalasin,4,0,20.1460088,981655,1,2,5.7,23.6,5.5,88
Kamphaeng Phet,4,24,14.89951531,726009,1,3,0.8,24.6,0.6,90
Kanchanaburi,4,30,17.2166075,838914,1,2.5,36.8,26.55,0.45,88.5
Khon Kaen,4,12,36.24407881,1766066,1,3.5,1.3,24.05,1.8,89
Krabi,4,14,8.98965273,438039,1,4.5,0.6,26.95,3.4,92
Lampang,4,4,15.54648694,757534,1,2,1.7,22.13333333,0.633333333,94.66666667
Lamphun,4,2,8.290102479,403952,1,1,0.6,21.8,0.4,95
Loei,4,8,12.82491692,624920,1,2,17.7,23.15,1.45,92
Lop Buri,4,0,15.51761179,756127,1,4,2.2,27.4,1.7,84
Mae Hong Son,4,5,5.008473605,244048,1,1,0,21.15,0.25,96
Maha Sarakham,4,4,19.28572638,939736,1,3,63.1,24,2.4,88
Mukdahan,4,2,6.989571514,340581,1,1,11.4,23.9,1.9,87
Nakhon Nayok,4,6,5.209245163,253831,1,0,0,0,0,0
Nakhon Pathom,4,10,17.77379321,866064,1,2,0.1,27.5,1.1,96
Nakhon Phanom,4,0,14.46359702,704768,1,3,3.55,22.65,1.95,90.5
Nakhon Ratchasima,4,25,53.05731669,2585325,1,4.666666667,30.63333333,25.16666667,3.633333333,88.33333333
Nakhon Sawan,4,55,21.99366946,1071686,1,4,16.6,26.8,1.1,87.5
Nakhon Si Thammarat,4,30,31.31878287,1526071,1,5.666666667,34.3,27.06666667,1.466666667,96.66666667
Nan,4,1,9.78126689,476612,1,1.5,9.75,20.925,0.15,94.75
Narathiwat,4,10,15.33793735,747372,1,6,18.2,26.4,2,94
Nong Bua Lam Phu,4,1,10.31359986,502551,1,2,0,0,0,87
Nong Khai,4,0,10.46380399,509870,1,3,0,24.4,2.9,87
Nonthaburi,4,27,23.03910582,1122627,1,6,75.1,0,0,0
Pathum Thani,4,21,20.7461481,1010898,1,6,75.1,27.4,2.5,88
Pattani,4,3,13.6163669,663485,1,6,4.5,27.2,0.4,95
Phangnga,4,0,5.231819907,254931,1,4,36.7,27.5,1.4,85.5
Phatthalung,4,11,10.48828733,511063,1,5,59.2,27.5,1,95
Phayao,4,2,9.98361868,486472,1,6,22,27.1,1.5,95
Phetchabun,4,22,20.33383067,990807,1,2,0,21.3,1.1,96
Phetchaburi,4,46,9.565103461,466079,1,2.666666667,29.93333333,25.56666667,0.6,85.66666667
Phichit,4,49,11.28096866,549688,1,5,0,26.4,4.4,87
Phitsanulok,4,26,17.47196889,851357,1,3,0,23.4,0.5,95
Phra Nakhon Si Ayutthaya,4,5,16.16460393,787653,1,4,21.5,24.5,2.1,89
Phrae,4,2,9.414694103,458750,1,5,21.5,27.3,3.7,86
Phuket,4,0,7.261822919,353847,1,6,0.2,22.5,0.7,94
Prachin Buri,4,23,9.638430332,469652,1,4.5,16.75,28.35,2.85,91
Prachuap Khiri Khan,4,33,10.51917368,512568,1,3.666666667,10.13333333,27.03333333,2,87.66666667
Ranong,4,3,3.773039991,183849,1,5,39.9,27,2,92
Ratchaburi,4,30,17.2939773,842684,1,1,4.1,26.8,2.5,92
Rayong,4,35,13.08793321,637736,1,6,115.95,27.1,0.85,88
Roi Et,4,10,26.78304492,1305058,1,4,1.2,24.2,3.65,91
Sa Kaeo,4,13,11.19699061,545596,1,3.5,38.4,22.3,1.25,89.5
Sakon Nakhon,4,1,23.05396411,1123351,1,1.5,14.9,22.4,0.9,89.5
Samut Prakan,4,65,24.69313675,1203223,1,6,60.05,26.9,6,80
Samut Sakhon,4,16,10.24273569,499098,1,6,60.05,0,0,0
Samut Songkhram,4,30,3.983128762,194086,1,0,0,0,0,0
Saraburi,4,25,12.73326347,620454,1,5,0,0,0,85
Satun,4,17,6.186854686,301467,1,5,4.2,27.9,1.6,90
Si Sa Ket,4,43,29.80282729,1452203,1,2,0,25.9,1.4,87
Sing Buri,4,0,4.383337917,213587,1,4,0,0,0,85
Songkhla,4,22,28.05445446,1367010,1,5.25,3.525,27.15,2.675,92.75
Sukhothai,4,25,12.3443622,601504,1,4,0,24.4,0.65,95.5
Suphan Buri,4,25,17.34259509,845053,1,3,2.15,26.95,1,92.5
Surat Thani,4,14,20.77007732,1012064,1,5.5,64.95,26.825,1.95,95.25
Surin,4,30,28.32923014,1380399,1,2.666666667,29.16666667,24.8,2.266666667,89.66666667
Tak,4,12,10.8978137,531018,1,1.8,2.18,21.58,1.02,90.4
Trang,4,2,12.86161114,626708,1,5,83.7,28.1,2.8,90
Trat,4,26,4.556260451,222013,1,3,2.6,27.8,1.9,96
Ubon Ratchathani,4,16,37.27001881,1816057,1,6,13.15,25.2,2.85,86.5
Udon Thani,4,0,31.77101655,1548107,1,3,23.1,23.8,3.4,86
Uthai Thani,4,18,6.732075783,328034,1,0,0,0,0,0
Uttaradit,4,3,9.461690614,461040,1,2,0,25.3,0.1,86
Yala,4,9,10.13333027,493767,1,6,15.7,27.1,2,97
Yasothon,4,1,11.05860744,538853,1,1.5,13.15,0,0,88
Amnat Charoen,5,40,20.3385834,372241,1,6,13.15,0,0,88
Ang Thong,5,23,15.52058569,284061,1,5,21.5,0,0,88
Bangkok Metropolis,5,302,310.063286,5674843,1,5.75,30.26,21.175,1.4,63.75
Bueng Kan,5,2,22.2723937,407634,1,1,0,0,0,75
Buri Ram,5,35,85.18561979,1559085,1,3.5,2.85,24.95,1.75,90.5
Chachoengsao,5,53,37.11956341,679370,1,6,30,25.6,1,92
Chai Nat,5,31,18.20851263,333256,1,4,0.6,26.6,0.4,89
Chaiyaphum,5,38,61.60037908,1127423,1,5,4.8,26.5,2.6,84
Chanthaburi,5,75,28.24003407,516855,1,4.5,30.85,27,1.7,89.5
Chiang Mai,5,40,89.94236806,1646144,1,1.5,0.45,19.55,2.05,80
Chiang Rai,5,25,65.49242298,1198656,1,0,0,20.35,0.7,96
Chon Buri,5,119,73.14177293,1338656,1,4.8,53.76,27.32,3.36,88
Chumphon,5,20,26.89194542,492182,1,5,12.4,26.45,1.4,95.5
Kalasin,5,0,53.63587591,981655,1,2,5.7,23.6,5.5,88
Kamphaeng Phet,5,58,39.66783507,726009,1,3,0.8,24.6,0.6,90
Kanchanaburi,5,63,45.83676262,838914,1,2.5,36.8,26.55,0.45,88.5
Khon Kaen,5,57,96.49469195,1766066,1,3.5,1.3,24.05,1.8,89
Krabi,5,29,23.9336686,438039,1,4.5,0.6,26.95,3.4,92
Lampang,5,21,41.39030476,757534,1,2,1.7,22.13333333,0.633333333,94.66666667
Lamphun,5,6,22.0712158,403952,1,1,0.6,21.8,0.4,95
Loei,5,25,34.14451266,624920,1,2,17.7,23.15,1.45,92
Lop Buri,5,4,41.3134288,756127,1,4,2.2,27.4,1.7,84
Mae Hong Son,5,44,13.33434684,244048,1,1,0,21.15,0.25,96
Maha Sarakham,5,14,51.34549662,939736,1,3,63.1,24,2.4,88
Mukdahan,5,4,18.60873754,340581,1,1,11.4,23.9,1.9,87
Nakhon Nayok,5,24,13.86887248,253831,1,0,0,0,0,0
Nakhon Pathom,5,16,47.32019012,866064,1,2,0.1,27.5,1.1,96
Nakhon Phanom,5,18,38.50726477,704768,1,3,3.55,22.65,1.95,90.5
Nakhon Ratchasima,5,69,141.2575405,2585325,1,4.666666667,30.63333333,25.16666667,3.633333333,88.33333333
Nakhon Sawan,5,164,58.55500895,1071686,1,4,16.6,26.8,1.1,87.5
Nakhon Si Thammarat,5,45,83.3817938,1526071,1,5.666666667,34.3,27.06666667,1.466666667,96.66666667
Nan,5,4,26.04122843,476612,1,1.5,9.75,20.925,0.15,94.75
Narathiwat,5,16,40.83507123,747372,1,6,18.2,26.4,2,94
Nong Bua Lam Phu,5,3,27.45848906,502551,1,2,0,0,0,87
Nong Khai,5,2,27.85838615,509870,1,3,0,24.4,2.9,87
Nonthaburi,5,71,61.33833421,1122627,1,6,75.1,0,0,0
Pathum Thani,5,90,55.2336612,1010898,1,6,75.1,27.4,2.5,88
Pattani,5,5,36.25163538,663485,1,6,4.5,27.2,0.4,95
Phangnga,5,3,13.92897452,254931,1,4,36.7,27.5,1.4,85.5
Phatthalung,5,25,27.92356953,511063,1,5,59.2,27.5,1,95
Phayao,5,12,26.57996122,486472,1,6,22,27.1,1.5,95
Phetchabun,5,52,54.13592485,990807,1,2,0,21.3,1.1,96
Phetchaburi,5,132,25.46572412,466079,1,2.666666667,29.93333333,25.56666667,0.6,85.66666667
Phichit,5,144,30.03397055,549688,1,5,0,26.4,4.4,87
Phitsanulok,5,75,46.51662591,851357,1,3,0,23.4,0.5,95
Phra Nakhon Si Ayutthaya,5,22,43.03595313,787653,1,4,21.5,24.5,2.1,89
Phrae,5,4,25.06528065,458750,1,5,21.5,27.3,3.7,86
Phuket,5,7,19.33356809,353847,1,6,0.2,22.5,0.7,94
Prachin Buri,5,99,25.66094646,469652,1,4.5,16.75,28.35,2.85,91
